Sample Name	Protocol REF	Parameter Value[instrument]	Parameter Value[manufacturer]	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]
s31	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s31_061020m	s31_061020m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s31_061020m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s31	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s31_061103n	s31_061103n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s31_061103n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s35	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s35_070115m	s35_070115m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s35_070115m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s35	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s35_070322n	s35_070322n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s35_070322n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s40	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s40_070124n	s40_070124n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s40_070124n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s40	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s40_070131m	s40_070131m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s40_070131m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s41	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s41_061225n	s41_061225n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s41_061225n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s41	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s41_080520m	s41_080520m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s41_080520m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s41	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s41_080530n	s41_080530n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s41_080530n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s41	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s41_090813m	s41_090813m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s41_090813m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s41	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s41_091104n	s41_091104n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s41_091104n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s42	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s42_061229n	s42_061229n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s42_061229n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s42	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s42_070105n	s42_070105n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s42_070105n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s43	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s43_070202m	s43_070202m.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s43_070202m.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s43	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s43_070205n	s43_070205n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s43_070205n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
s43	Experimental paradigm	Neuroscan EEG acquisition system	Neuroscan	s43_070208n	s43_070208n.set	figshare	doi:10.6084/m9.figshare.6427334.v5	https://doi.org/10.6084/m9.figshare.6427334.v5	Experimental paradigm	s43_070208n.set.zip	figshare	doi:10.6084/m9.figshare.7666055.v3	https://doi.org/10.6084/m9.figshare.7666055.v3
